w	gain	V(onoise)
9.976311574844226e+05	2.157315e-01	8.176308e-11
9.999309348163548e+05	2.152594e-01	8.158413e-11
1.002236013682563e+06	2.147882e-01	8.140554e-11
1.004546406304347e+06	2.143179e-01	8.122729e-11
1.006862124931177e+06	2.138486e-01	8.104940e-11
1.009183181840763e+06	2.133802e-01	8.087186e-11
1.011509589339118e+06	2.129128e-01	8.069467e-11
1.013841359760623e+06	2.124462e-01	8.051782e-11
1.016178505468093e+06	2.119806e-01	8.034133e-11
1.018521038852841e+06	2.115159e-01	8.016519e-11
1.020868972334747e+06	2.110521e-01	7.998939e-11
1.023222318362319e+06	2.105892e-01	7.981395e-11
1.025581089412764e+06	2.101272e-01	7.963884e-11
1.027945297992053e+06	2.096662e-01	7.946410e-11
1.030314956634982e+06	2.092061e-01	7.928969e-11
1.032690077905246e+06	2.087469e-01	7.911563e-11
1.035070674395502e+06	2.082885e-01	7.894192e-11
1.037456758727436e+06	2.078311e-01	7.876855e-11
1.039848343551829e+06	2.073747e-01	7.859553e-11
1.042245441548625e+06	2.069191e-01	7.842284e-11
1.044648065427001e+06	2.064644e-01	7.825051e-11
1.047056227925427e+06	2.060107e-01	7.807852e-11
1.049469941811743e+06	2.055578e-01	7.790688e-11
1.051889219883218e+06	2.051059e-01	7.773557e-11
1.054314074966625e+06	2.046548e-01	7.756461e-11
1.056744519918304e+06	2.042046e-01	7.739398e-11
1.059180567624231e+06	2.037554e-01	7.722371e-11
1.061622231000090e+06	2.033070e-01	7.705377e-11
1.064069522991336e+06	2.028596e-01	7.688417e-11
1.066522456573268e+06	2.024130e-01	7.671491e-11
1.068981044751096e+06	2.019674e-01	7.654598e-11
1.071445300560009e+06	2.015226e-01	7.637740e-11
1.073915237065247e+06	2.010787e-01	7.620916e-11
1.076390867362166e+06	2.006357e-01	7.604126e-11
1.078872204576313e+06	2.001936e-01	7.587370e-11
1.081359261863490e+06	1.997524e-01	7.570646e-11
1.083852052409827e+06	1.993121e-01	7.553957e-11
1.086350589431852e+06	1.988727e-01	7.537301e-11
1.088854886176559e+06	1.984341e-01	7.520679e-11
1.091364955921480e+06	1.979965e-01	7.504091e-11
1.093880811974755e+06	1.975597e-01	7.487536e-11
1.096402467675203e+06	1.971238e-01	7.471014e-11
1.098929936392391e+06	1.966888e-01	7.454526e-11
1.101463231526707e+06	1.962547e-01	7.438071e-11
1.104002366509428e+06	1.958214e-01	7.421649e-11
1.106547354802797e+06	1.953890e-01	7.405261e-11
1.109098209900088e+06	1.949575e-01	7.388905e-11
1.111654945325680e+06	1.945269e-01	7.372584e-11
1.114217574635130e+06	1.940971e-01	7.356295e-11
1.116786111415244e+06	1.936682e-01	7.340039e-11
1.119360569284148e+06	1.932402e-01	7.323816e-11
1.121940961891361e+06	1.928131e-01	7.307626e-11
1.124527302917868e+06	1.923868e-01	7.291469e-11
1.127119606076192e+06	1.919614e-01	7.275344e-11
1.129717885110467e+06	1.915368e-01	7.259253e-11
1.132322153796507e+06	1.911131e-01	7.243194e-11
1.134932425941888e+06	1.906903e-01	7.227169e-11
1.137548715386013e+06	1.902684e-01	7.211175e-11
1.140171036000186e+06	1.898473e-01	7.195215e-11
1.142799401687692e+06	1.894270e-01	7.179287e-11
1.145433826383863e+06	1.890076e-01	7.163391e-11
1.148074324056158e+06	1.885891e-01	7.147528e-11
1.150720908704231e+06	1.881714e-01	7.131698e-11
1.153373594360011e+06	1.877546e-01	7.115900e-11
1.156032395087774e+06	1.873387e-01	7.100134e-11
1.158697324984215e+06	1.869235e-01	7.084400e-11
1.161368398178529e+06	1.865093e-01	7.068698e-11
1.164045628832480e+06	1.860959e-01	7.053030e-11
1.166729031140477e+06	1.856833e-01	7.037392e-11
1.169418619329653e+06	1.852716e-01	7.021787e-11
1.172114407659937e+06	1.848607e-01	7.006214e-11
1.174816410424129e+06	1.844507e-01	6.990673e-11
1.177524641947980e+06	1.840415e-01	6.975164e-11
1.180239116590264e+06	1.836331e-01	6.959688e-11
1.182959848742854e+06	1.832256e-01	6.944242e-11
1.185686852830803e+06	1.828190e-01	6.928828e-11
1.188420143312413e+06	1.824131e-01	6.913447e-11
1.191159734679320e+06	1.820081e-01	6.898097e-11
1.193905641456563e+06	1.816040e-01	6.882778e-11
1.196657878202668e+06	1.812006e-01	6.867492e-11
1.199416459509720e+06	1.807981e-01	6.852236e-11
1.202181400003441e+06	1.803965e-01	6.837013e-11
1.204952714343271e+06	1.799957e-01	6.821820e-11
1.207730417222444e+06	1.795956e-01	6.806659e-11
1.210514523368063e+06	1.791965e-01	6.791530e-11
1.213305047541181e+06	1.787981e-01	6.776431e-11
1.216102004536881e+06	1.784006e-01	6.761365e-11
1.218905409184350e+06	1.780039e-01	6.746329e-11
1.221715276346959e+06	1.776080e-01	6.731325e-11
1.224531620922346e+06	1.772129e-01	6.716351e-11
1.227354457842488e+06	1.768187e-01	6.701408e-11
1.230183802073787e+06	1.764252e-01	6.686497e-11
1.233019668617143e+06	1.760326e-01	6.671617e-11
1.235862072508038e+06	1.756409e-01	6.656767e-11
1.238711028816615e+06	1.752499e-01	6.641948e-11
1.241566552647758e+06	1.748597e-01	6.627161e-11
1.244428659141168e+06	1.744704e-01	6.612403e-11
1.247297363471450e+06	1.740818e-01	6.597677e-11
1.250172680848188e+06	1.736941e-01	6.582981e-11
1.253054626516029e+06	1.733071e-01	6.568316e-11
1.255943215754762e+06	1.729210e-01	6.553681e-11
1.258838463879400e+06	1.725357e-01	6.539077e-11
1.261740386240259e+06	1.721512e-01	6.524503e-11
1.264648998223044e+06	1.717675e-01	6.509960e-11
1.267564315248925e+06	1.713845e-01	6.495447e-11
1.270486352774624e+06	1.710024e-01	6.480965e-11
1.273415126292492e+06	1.706211e-01	6.466513e-11
1.276350651330594e+06	1.702406e-01	6.452090e-11
1.279292943452794e+06	1.698609e-01	6.437698e-11
1.282242018258829e+06	1.694819e-01	6.423337e-11
1.285197891384403e+06	1.691038e-01	6.409005e-11
1.288160578501258e+06	1.687265e-01	6.394704e-11
1.291130095317268e+06	1.683499e-01	6.380432e-11
1.294106457576516e+06	1.679742e-01	6.366190e-11
1.297089681059377e+06	1.675992e-01	6.351977e-11
1.300079781582606e+06	1.672250e-01	6.337796e-11
1.303076774999417e+06	1.668516e-01	6.323643e-11
1.306080677199573e+06	1.664790e-01	6.309520e-11
1.309091504109462e+06	1.661071e-01	6.295427e-11
1.312109271692190e+06	1.657361e-01	6.281364e-11
1.315133995947660e+06	1.653658e-01	6.267330e-11
1.318165692912659e+06	1.649963e-01	6.253326e-11
1.321204378660942e+06	1.646276e-01	6.239351e-11
1.324250069303319e+06	1.642596e-01	6.225406e-11
1.327302780987738e+06	1.638925e-01	6.211490e-11
1.330362529899373e+06	1.635261e-01	6.197603e-11
1.333429332260708e+06	1.631604e-01	6.183745e-11
1.336503204331624e+06	1.627956e-01	6.169917e-11
1.339584162409484e+06	1.624315e-01	6.156118e-11
1.342672222829221e+06	1.620682e-01	6.142348e-11
1.345767401963425e+06	1.617056e-01	6.128607e-11
1.348869716222428e+06	1.613439e-01	6.114895e-11
1.351979182054389e+06	1.609828e-01	6.101212e-11
1.355095815945388e+06	1.606226e-01	6.087558e-11
1.358219634419508e+06	1.602631e-01	6.073933e-11
1.361350654038923e+06	1.599044e-01	6.060337e-11
1.364488891403987e+06	1.595464e-01	6.046769e-11
1.367634363153322e+06	1.591892e-01	6.033230e-11
1.370787085963907e+06	1.588327e-01	6.019720e-11
1.373947076551165e+06	1.584770e-01	6.006239e-11
1.377114351669049e+06	1.581220e-01	5.992785e-11
1.380288928110139e+06	1.577678e-01	5.979361e-11
